Id,Author,Title,Genre, Packed Id,Created At,Updated At,Acts,Prose Vers,Prologue,Musique Danse Machine,Expert Validated,Alternative Title,Url,Date De Creation
751,Laujon,Les Soubrettes,comédie en 5 actes,2,,,,,,,,,,
752,Laujon,Les Soubrettes,comédie en 5 actes,3,,,,,,,,,,
753,Laujon,Les Soubrettes,comédie en 5 actes,4,,,,,,,,,,
5466,Racine (Jean),Alexandre le Grand,tragédie,18,2013-12-16T17:46:35.328441,2014-04-29T20:45:17.349575,5,vers,,,true,,,
5469,Corneille (Pierre),Andromède,tragédie,20,2013-12-16T17:46:35.353555,2014-05-08T20:46:55.824509,5,vers,true,true,true,,,
5475,Corneille (Pierre),Agésilas,tragédie,21,2013-12-16T17:46:35.403539,2014-05-08T20:46:56.326973,5,vers,true,true,true,,,
5486,Corneille (Pierre),"Attila, roi des Huns",tragédie,36,2013-12-16T17:46:35.4952,2014-04-29T20:45:18.786792,5,vers,true,true,true,,,
5489,Quinault (Philippe),Bellérophon,tragédie,39,2013-12-16T17:46:35.520179,2014-04-29T20:45:18.870637,5,vers,true,true,true,,,
5493,Corneille (Thomas),"Camma, reine de Galatie",tragédie,42,2013-12-16T17:46:35.553519,2014-04-29T20:45:18.972756,5,vers,true,true,true,,,
5502,"Abeille (Gaspard, abbé)",Coriolan,tragédie,45,2013-12-16T17:46:35.628564,2014-05-08T20:46:56.894883,5,vers,true,true,true,,,
5506,Rotrou (Jean de) ; Ussé (Louis II Bernin de Valentinay d'),Cosroès,tragédie,51,2013-12-16T17:46:35.661883,2014-05-08T20:46:57.035503,5,vers,true,true,true,,,
5507,"Hauteroche (Noël Lebreton, sieur de)",Crispin musicien,comédie,52,2013-12-16T17:46:35.670218,2014-05-08T20:46:57.055744,5,vers,true,true,true,,,
5511,Corneille (Thomas),Don Bertrand de Cigarral,comédie,54,2013-12-16T17:46:35.703551,2014-05-08T20:46:57.128262,5,vers,true,true,true,,,
5471,Riupeirous (Théodore de),Annibal,tragédie,22,2013-12-16T17:46:35.370215,2015-03-18T20:21:39.38991,5,vers,true,true,true,,,1688-11-05
5484,Fontenelle (Bernard le Bouvier de),Aspar,tragédie,30,2013-12-16T17:46:35.478516,2014-09-18T14:36:47.024593,5,vers,true,true,true,,,1680-12-27
5456,Séguineau (Mr) ; Pralard (René),Aégiste,tragédie,9,2013-12-16T17:46:35.24512,2014-09-23T20:53:06.136157,5,vers,true,true,true,,,1721-11-18
5494,Legrand (Marc-Antoine),Cartouche ou les Voleurs,comédie,37,2013-12-16T17:46:35.561837,2014-09-23T20:57:45.652659,3,prose,true,true,true,,,1721-10-21
5503,Chaligny des Plaines (François de),Coriolan,tragédie,50,2013-12-16T17:46:35.636895,2014-09-24T00:43:34.113468,5,vers,true,true,true,,,1722-02-28
5488,Gaultier,Basile et Quitterie,tragi-comédie,35,2013-12-16T17:46:35.511871,2014-09-24T01:09:25.454101,3,vers,true,true,true,,,1723-01-13
5464,Poisson (Philippe),Alcibiade,comédie,16,2013-12-16T17:46:35.311783,2015-01-08T21:03:10.147576,3,vers,true,true,true,,,1731-02-23
5500,La Chapelle (Jean de),Cléopâtre,tragédie,47,2013-12-16T17:46:35.611855,2014-10-29T00:46:13.515659,5,vers,true,true,true,,,1681-12-12
5461,La Chapelle (Jean de),Ajax,tragédie,13,2013-12-16T17:46:35.286784,2014-11-30T14:55:31.730985,5,vers,true,true,true,,,1684-12-27
5478,Campistron (Jean Galbert de),Arminius,tragédie,27,2013-12-16T17:46:35.428533,2014-11-30T15:12:12.564212,5,vers,true,true,true,,,1684-02-19
5465,Campistron (Jean Galbert de),Alcibiade,tragédie,14,2013-12-16T17:46:35.320151,2014-11-30T15:53:17.460063,5,vers,true,true,true,,,1685-12-28
5455,Campistron (Jean Galbert de),Adrien,tragédie,7,2013-12-16T17:46:35.236786,2014-12-09T14:27:09.03091,5,vers,true,true,true,,,1690-01-11
