Play Performance Id,Seating Capacity,Name,Title,Author,Genre,Date,Total Sold
114,6,Premières Places,Chevalier à la mode (Le),Dancourt (Florent Carton dit),comédie,1778-06-16,10
114,6,Secondes Places,Chevalier à la mode (Le),Dancourt (Florent Carton dit),comédie,1778-06-16,49
114,6,Troisièmes Places,Chevalier à la mode (Le),Dancourt (Florent Carton dit),comédie,1778-06-16,22
114,6,Places de Parterre,Chevalier à la mode (Le),Dancourt (Florent Carton dit),comédie,1778-06-16,147
115,6,Petites Loges,Coupe enchantée (La),"La Fontaine (Jean de) ; Champmeslé (Charles Chevillet, sieur de Champmeslé, dit)",comédie,1778-06-16,1
115,6,Premières Places,Coupe enchantée (La),"La Fontaine (Jean de) ; Champmeslé (Charles Chevillet, sieur de Champmeslé, dit)",comédie,1778-06-16,10
115,6,Secondes Places,Coupe enchantée (La),"La Fontaine (Jean de) ; Champmeslé (Charles Chevillet, sieur de Champmeslé, dit)",comédie,1778-06-16,49
115,6,Troisièmes Places,Coupe enchantée (La),"La Fontaine (Jean de) ; Champmeslé (Charles Chevillet, sieur de Champmeslé, dit)",comédie,1778-06-16,22
115,6,Places de Parterre,Coupe enchantée (La),"La Fontaine (Jean de) ; Champmeslé (Charles Chevillet, sieur de Champmeslé, dit)",comédie,1778-06-16,147
118,6,Secondes Loges 3,Tambour nocturne ou le Mari devin (Le),Destouches (Philippe Néricault dit),comédie,1778-01-01,6
118,6,Petites Loges,Tambour nocturne ou le Mari devin (Le),Destouches (Philippe Néricault dit),comédie,1778-01-01,4
118,6,Premières Places,Tambour nocturne ou le Mari devin (Le),Destouches (Philippe Néricault dit),comédie,1778-01-01,82
118,6,Secondes Places,Tambour nocturne ou le Mari devin (Le),Destouches (Philippe Néricault dit),comédie,1778-01-01,105
118,6,Troisièmes Places,Tambour nocturne ou le Mari devin (Le),Destouches (Philippe Néricault dit),comédie,1778-01-01,76
118,6,Places de Parterre,Tambour nocturne ou le Mari devin (Le),Destouches (Philippe Néricault dit),comédie,1778-01-01,450
120,6,Petites Loges,Dissipateur ou l'Honnête friponne (Le),Destouches (Philippe Néricault dit),comédie,1778-01-02,1
120,6,Premières Places,Dissipateur ou l'Honnête friponne (Le),Destouches (Philippe Néricault dit),comédie,1778-01-02,19
120,6,Secondes Places,Dissipateur ou l'Honnête friponne (Le),Destouches (Philippe Néricault dit),comédie,1778-01-02,64
120,6,Troisièmes Places,Dissipateur ou l'Honnête friponne (Le),Destouches (Philippe Néricault dit),comédie,1778-01-02,19
120,6,Places de Parterre,Dissipateur ou l'Honnête friponne (Le),Destouches (Philippe Néricault dit),comédie,1778-01-02,203
121,6,Petites Loges,Babillard (Le),Boissy (Louis de),comédie,1778-01-02,1
121,6,Premières Places,Babillard (Le),Boissy (Louis de),comédie,1778-01-02,19
